uID,year_scrubbed,year_shut,FacID,Facility.Latitude,Facility.Longitude,State
50900.2,,2019,50900,37.7997,-79.9946,VA
50900.3,,2019,50900,37.7997,-79.9946,VA
50900.4,,,50900,37.7997,-79.9946,VA
50951.1,2015,,50951,39.5472,-110.3917,UT
50954.17,,2006,50954,36.5708,-79.4286,VA
50956.11,,2020,50956,35.2964,-84.7569,TN
50956.12,,2020,50956,35.2964,-84.7569,TN
50974.1,1999,,50974,41.2678,-79.8114,PA
50974.2,1999,,50974,41.2678,-79.8114,PA
50976.1,2008,,50976,27.0393,-80.5144,FL
51.1,1997,,51,32.0306,-93.5692,LA
52007.1,2003,2019,52007,36.6009,-78.53,VA
52007.2,2003,2019,52007,36.6009,-78.53,VA
52071.5A,2009,,52071,30.5681,-97.0614,TX
52071.5B,2009,,52071,30.5681,-97.0614,TX
52089.BLR007,,2015,52089,37.3451,-80.764,VA
52140.Z008,,,52140,32.4167,-86.4667,AL
52151.1,,2019,52151,33.8872,-80.6397,SC
52152.17,,,52152,36.6803,-76.9128,VA
52152.3,,2014,52152,36.6803,-76.9128,VA
525.H1,1998,,525,40.4856,-107.185,CO
525.H2,1999,,525,40.4856,-107.185,CO
527.1,1997,2019,527,38.2387,-108.5083,CO
54035.1,2004,2017,54035,36.4364,-77.6167,NC
54081.BLR01A,2003,,54081,37.4556,-77.4308,VA
54081.BLR01B,2003,,54081,37.4556,-77.4308,VA
54081.BLR02A,2003,,54081,37.4556,-77.4308,VA
54081.BLR02B,2003,,54081,37.4556,-77.4308,VA
54081.BLR03A,2003,2019,54081,37.4556,-77.4308,VA
54081.BLR03B,2003,2019,54081,37.4556,-77.4308,VA
54081.BLR04A,2003,2019,54081,37.4556,-77.4308,VA
54081.BLR04B,2003,2019,54081,37.4556,-77.4308,VA
54089.1,,2002,54089,41.1239,-77.4567,PA
54089.2,,2002,54089,41.1239,-77.4567,PA
54144.31,1999,2015,54144,41.1776,-79.4418,PA
54207.B001,,2014,54207,41.2119,-80.8176,OH
54216.AOW#1,,2013,54216,33.3278,-86.3583,AL
54216.AOW#2,,2013,54216,33.3278,-86.3583,AL
54216.AOW#3,,2015,54216,33.3278,-86.3583,AL
54216.AOW#4,,2015,54216,33.3278,-86.3583,AL
54276.ES001,2004,,54276,35.9069,-79.0617,NC
54276.ES002,2004,,54276,35.9069,-79.0617,NC
54304.1,2003,,54304,38.2667,-77.3147,VA
54556.B01,,2007,54556,41.7775,-87.8233,IL
54556.B02,,2007,54556,41.7775,-87.8233,IL
54556.B03,,2007,54556,41.7775,-87.8233,IL
54556.B10,2006,,54556,41.7775,-87.8233,IL
54634.1,1999,,54634,40.8222,-76.1736,PA
54638.40,,,54638,41.4908,-78.6767,PA
54638.41,,,54638,41.4908,-78.6767,PA
54755.2,2004,2017,54755,36.4364,-77.6167,NC
55076.AA001,2002,,55076,33.3761,-89.2183,MS
55076.AA002,2002,,55076,33.3761,-89.2183,MS
55245.3,,2016,55245,39.7983,-88.3501,IL
55245.4,,2016,55245,39.7983,-88.3501,IL
55479.1,2003,,55479,44.2862,-105.3843,WY
55749.U1,2006,,55749,45.7578,-107.6,MT
55856.1,2012,,55856,38.2792,-89.667,IL
55856.2,2012,,55856,38.2792,-89.667,IL
56.1,2007,2020,56,31.4858,-87.9106,AL
56.2,1997,2020,56,31.4858,-87.9106,AL
56.3,1997,2020,56,31.4858,-87.9106,AL
56068.1,2009,,56068,42.8445,-87.829,WI
56068.2,2010,,56068,42.8445,-87.829,WI
56224.1,2008,,56224,40.7458,-116.5297,NV
56319.1,2008,,56319,44.2911,-105.3815,WY
564.1,1997,,564,28.4836,-81.1686,FL
564.2,1997,,564,28.4836,-81.1686,FL
56456.1,2010,,56456,35.6626,-89.9469,AR
56564.SN.01,2012,,56564,33.6497,-93.8119,AR
56596.1,2010,,56596,44.2892,-105.3795,WY
56609.1,2011,,56609,44.3901,-105.4591,WY
56611.S01,2012,,56611,31.4753,-96.9564,TX
56671.1,2011,,56671,39.7078,-79.9588,WV
56786.1,2014,,56786,46.925,-98.5,ND
568.BHB3,,2021,568,41.1706,-73.1843,CT
56808.1,2012,,56808,36.9161,-82.3381,VA
56808.2,2012,,56808,36.9161,-82.3381,VA
59.1,2014,,59,40.8538,-98.3481,NE
593.3,,2011,593,39.7372,-75.5033,DE
593.4,,2011,593,39.7372,-75.5033,DE
594.1,,2012,594,38.5857,-75.2341,DE
594.2,,2011,594,38.5857,-75.2341,DE
594.3,,2014,594,38.5857,-75.2341,DE
594.4,2011,,594,38.5857,-75.2341,DE
60.1,,,60,40.5806,-98.3106,NE
60.2,2011,,60,40.5806,-98.3106,NE
6002.1,2011,,6002,33.6319,-87.0597,AL
6002.2,2010,,6002,33.6319,-87.0597,AL
6002.3,2009,,6002,33.6319,-87.0597,AL
6002.4,2010,,6002,33.6319,-87.0597,AL
6004.1,1997,,6004,39.3668,-81.2944,WV
6004.2,1997,,6004,39.3668,-81.2944,WV
6009.1,,2009,6009,34.4236,-92.1392,AR
6009.2,,2009,6009,34.4236,-92.1392,AR
6016.1,1997,2019,6016,40.4663,-89.9841,IL
6017.1,,,6017,38.9361,-88.2778,IL
6017.2,,2017,6017,38.9361,-88.2778,IL
6018.2,1996,,6018,38.9031,-84.8511,KY
6019.1,1997,,6019,38.8689,-84.2286,OH
602.1,2009,,602,39.1792,-76.5383,MD
602.2,2010,,602,39.1792,-76.5383,MD
6021.C1,1997,,6021,40.4627,-107.5912,CO
6021.C2,1997,,6021,40.4627,-107.5912,CO
6021.C3,1997,,6021,40.4627,-107.5912,CO
6030.1,1997,,6030,47.3761,-101.1567,ND
6030.2,1997,,6030,47.3761,-101.1567,ND
6031.2,2007,2018,6031,38.6903,-83.4803,OH
6034.1,,,6034,42.7748,-82.4945,MI
6034.2,,,6034,42.7748,-82.4945,MI
6041.1,2009,,6041,38.7,-83.8175,KY
6041.2,2008,,6041,38.7,-83.8175,KY
6041.3,2005,,6041,38.7,-83.8175,KY
6041.4,2009,,6041,38.7,-83.8175,KY
6052.1,2008,,6052,33.4124,-85.0345,GA
6052.2,2009,,6052,33.4124,-85.0345,GA
6055.2B1,2015,,6055,30.7261,-91.3669,LA
6055.2B2,,2016,6055,30.7261,-91.3669,LA
6055.2B3,,,6055,30.7261,-91.3669,LA
6061.1,1996,2018,6061,31.2194,-89.3933,MS
6061.2,1996,2018,6061,31.2194,-89.3933,MS
6064.N1,2016,,6064,39.1714,-94.6958,KS
6065.1,2009,,6065,39.4472,-94.98,MO
6065.2,2010,,6065,39.4472,-94.98,MO
6068.1,1997,,6068,39.2825,-96.1153,KS
6068.2,1997,,6068,39.2825,-96.1153,KS
6068.3,1997,,6068,39.2825,-96.1153,KS
6071.1,1997,,6071,38.5847,-85.4117,KY
6071.2,2010,,6071,38.5847,-85.4117,KY
6073.1,2015,,6073,30.5335,-88.5574,MS
6073.2,,,6073,30.5335,-88.5574,MS
6076.1,1997,2020,6076,45.8831,-106.614,MT
6076.2,1997,2020,6076,45.8831,-106.614,MT
6076.3,1997,,6076,45.8831,-106.614,MT
6076.4,1997,,6076,45.8831,-106.614,MT
6077.1,,,6077,41.0808,-101.1408,NE
6077.2,,,6077,41.0808,-101.1408,NE
6082.1,1997,,6082,43.3561,-78.6039,NY
6085.14,2013,,6085,41.2175,-87.0239,IN
6085.15,2014,,6085,41.2175,-87.0239,IN
6085.17,1997,,6085,41.2175,-87.0239,IN
6085.18,1997,,6085,41.2175,-87.0239,IN
6089.B1,1997,2021,6089,47.6788,-104.1569,MT
6090.1,1996,,6090,45.3792,-93.8958,MN
6090.2,1996,,6090,45.3792,-93.8958,MN
6090.3,1997,,6090,45.3792,-93.8958,MN
6094.1,,,6094,40.6344,-80.42,PA
6094.2,1998,,6094,40.6344,-80.42,PA
6094.3,1997,,6094,40.6344,-80.42,PA
6095.1,2018,,6095,36.4537,-97.0527,OK
6095.2,2018,,6095,36.4537,-97.0527,OK
6096.1,,,6096,40.6215,-95.7765,NE
6096.2,2009,,6096,40.6215,-95.7765,NE
6098.1,2015,,6098,45.3047,-96.5103,SD
6101.BW91,1996,,6101,44.2886,-105.3847,WY
6106.1SG,2014,,6106,45.6933,-119.8056,OR
6113.1,2007,,6113,38.3722,-87.7661,IN
6113.2,2007,,6113,38.3722,-87.7661,IN
6113.3,2006,,6113,38.3722,-87.7661,IN
6113.4,1996,,6113,38.3722,-87.7661,IN
6113.5,1997,,6113,38.3722,-87.7661,IN
6124.1,,2019,6124,32.3558,-81.1683,GA
6136.1,2011,2019,6136,30.6167,-96.0778,TX
6137.1,1997,,6137,37.9053,-87.715,IN
6137.2,1997,,6137,37.9053,-87.715,IN
6138.1,2016,,6138,36.2561,-94.5241,AR
6139.1,,,6139,33.0583,-94.844,TX
6139.2,,2016,6139,33.0583,-94.844,TX
6139.3,,,6139,33.0583,-94.844,TX
6146.1,1997,,6146,32.2597,-94.5703,TX
6146.2,1997,,6146,32.2597,-94.5703,TX
6146.3,1997,,6146,32.2597,-94.5703,TX
6147.1,,2018,6147,33.0917,-95.0417,TX
6147.2,,2018,6147,33.0917,-95.0417,TX
6147.3,1997,2018,6147,33.0917,-95.0417,TX
6155.1,,,6155,38.1306,-90.2625,MO
6155.2,,,6155,38.1306,-90.2625,MO
6165.1,1997,,6165,39.1747,-111.0289,UT
6165.2,2012,,6165,39.1747,-111.0289,UT
6165.3,1997,,6165,39.1747,-111.0289,UT
6166.MB1,2015,,6166,37.9256,-87.0372,IN
6166.MB2,2015,,6166,37.9256,-87.0372,IN
6170.1,2006,2018,6170,42.5381,-87.9033,WI
6170.2,2007,2018,6170,42.5381,-87.9033,WI
6177.U1B,1997,,6177,34.5778,-109.2717,AZ
6177.U2B,1997,,6177,34.5778,-109.2717,AZ
6178.1,,,6178,28.7128,-97.2142,TX
6179.1,2010,,6179,29.9172,-96.7506,TX
6179.2,2011,,6179,29.9172,-96.7506,TX
6179.3,1997,,6179,29.9172,-96.7506,TX
6180.1,2009,,6180,31.185,-96.4853,TX
6180.2,2010,,6180,31.185,-96.4853,TX
6181.1,,,6181,29.3072,-98.3228,TX
6181.2,,,6181,29.3072,-98.3228,TX
6183.SM.1,1997,,6183,28.7044,-98.4781,TX
6190.2,,,6190,31.395,-92.7167,LA
6193.61B,,,6193,35.2972,-101.7475,TX
6193.62B,,,6193,35.2972,-101.7475,TX
6193.63B,,,6193,35.2972,-101.7475,TX
6194.171B,,,6194,34.1847,-102.5686,TX
6194.172B,,,6194,34.1847,-102.5686,TX
6195.1,,,6195,37.1519,-93.3892,MO
6195.2,2011,,6195,37.1519,-93.3892,MO
6204.1,1997,,6204,42.1103,-104.8828,WY
6204.2,1997,,6204,42.1103,-104.8828,WY
6204.3,1997,,6204,42.1103,-104.8828,WY
6213.1SG1,1997,,6213,39.0694,-87.5108,IN
6213.2SG1,1997,,6213,39.0694,-87.5108,IN
6248.1,2014,,6248,40.2217,-103.6803,CO
6249.1,2007,,6249,33.3303,-79.3611,SC
6249.2,1997,,6249,33.3303,-79.3611,SC
6249.3,1997,,6249,33.3303,-79.3611,SC
6249.4,1997,,6249,33.3303,-79.3611,SC
6250.1A,2009,,6250,36.5278,-78.8917,NC
6250.1B,2009,,6250,36.5278,-78.8917,NC
6254.1,2014,,6254,41.0961,-92.5556,IA
6257.1,2013,,6257,33.0583,-83.8072,GA
6257.2,2013,,6257,33.0583,-83.8072,GA
6257.3,2010,,6257,33.0583,-83.8072,GA
6257.4,2012,,6257,33.0583,-83.8072,GA
6264.1,2007,,6264,38.9794,-81.9344,WV
628.1,,2019,628,28.9594,-82.7003,FL
628.2,,2019,628,28.9594,-82.7003,FL
628.4,2010,,628,28.9594,-82.7003,FL
628.5,2009,,628,28.9594,-82.7003,FL
6288.2,2019,,6288,63.8542,-148.95,AK
641.4,2010,2021,641,30.5661,-87.2289,FL
641.5,2010,2021,641,30.5661,-87.2289,FL
641.6,2010,2021,641,30.5661,-87.2289,FL
641.7,2010,2021,641,30.5661,-87.2289,FL
642.1,,2015,642,30.6689,-84.8869,FL
642.2,,2015,642,30.6689,-84.8869,FL
643.1,,2016,643,30.2689,-85.7003,FL
643.2,,2016,643,30.2689,-85.7003,FL
645.BB01,1999,2019,645,27.7944,-82.4036,FL
645.BB02,1999,2019,645,27.7944,-82.4036,FL
645.BB03,,2019,645,27.7944,-82.4036,FL
645.BB04,,,645,27.7944,-82.4036,FL
646.GB01,,2003,646,27.9083,-82.4194,FL
646.GB02,,2003,646,27.9083,-82.4194,FL
646.GB03,,2003,646,27.9083,-82.4194,FL
646.GB04,,2003,646,27.9083,-82.4194,FL
646.GB05,,2003,646,27.9083,-82.4194,FL
646.GB06,,2003,646,27.9083,-82.4194,FL
6469.B1,1997,,6469,47.3714,-101.8344,ND
6469.B2,1997,,6469,47.3714,-101.8344,ND
6481.1SGA,1997,,6481,39.5035,-112.5811,UT
6481.2SGA,1997,,6481,39.5035,-112.5811,UT
663.B2,2009,,663,29.7586,-82.3883,FL
6639.G1,1996,,6639,37.6467,-87.5006,KY
6639.G2,1996,,6639,37.6467,-87.5006,KY
6641.1,,,6641,35.6733,-91.4083,AR
6641.2,,,6641,35.6733,-91.4083,AR
6648.4,1997,2018,6648,30.5642,-97.0639,TX
6664.101,2007,,6664,41.3153,-91.0936,IA
667.1A,2002,,667,30.4172,-81.5525,FL
667.2A,2002,,667,30.4172,-81.5525,FL
6705.1,2008,,6705,37.915,-87.3328,IN
6705.2,2008,,6705,37.915,-87.3328,IN
6705.3,2008,,6705,37.915,-87.3328,IN
6705.4,2008,,6705,37.915,-87.3328,IN
676.3,1997,2021,676,28.0809,-81.9256,FL
6761.101,1997,,6761,40.8611,-105.0206,CO
6768.1,,,6768,36.8791,-89.6209,MO
6772.1,,,6772,34.0158,-95.3206,OK
6823.W1,1997,,6823,37.4497,-87.0803,KY
699.1,,2002,699,32.9269,-83.6997,GA
699.2,,2002,699,32.9269,-83.6997,GA
699.3,,2002,699,32.9269,-83.6997,GA
699.4,,2002,699,32.9269,-83.6997,GA
7.1,,2016,7,34.0128,-85.9708,AL
7.2,,2016,7,34.0128,-85.9708,AL
703.1BLR,2010,,703,34.1256,-84.9192,GA
703.2BLR,2009,,703,34.1256,-84.9192,GA
703.3BLR,2008,,703,34.1256,-84.9192,GA
703.4BLR,2008,,703,34.1256,-84.9192,GA
7030.U1,1997,,7030,31.0932,-96.6965,TX
7030.U2,1997,,7030,31.0932,-96.6965,TX
708.1,2008,2019,708,34.2533,-85.3456,GA
708.2,2008,2019,708,34.2533,-85.3456,GA
708.3,2008,2019,708,34.2533,-85.3456,GA
708.4,2008,2019,708,34.2533,-85.3456,GA
709.1,,2015,709,33.1942,-83.2994,GA
709.2,,2013,709,33.1942,-83.2994,GA
709.3,,2015,709,33.1942,-83.2994,GA
709.4,,2015,709,33.1942,-83.2994,GA
7097...1,1997,,7097,29.3091,-98.3205,TX
7097...2,2010,,7097,29.3091,-98.3205,TX
710.MB1,,2012,710,33.8244,-84.475,GA
710.MB2,,2011,710,33.8244,-84.475,GA
7210.COP1,1997,2020,7210,33.3642,-81.03,SC
7213.1,1997,,7213,36.8692,-78.7046,VA
7213.2,1997,,7213,36.8692,-78.7046,VA
7242...1,,2005,7242,27.7286,-81.9897,FL
7253.1,,2010,7253,39.3672,-81.5208,OH
7253.2,,2010,7253,39.3672,-81.5208,OH
7253.3,,2010,7253,39.3672,-81.5208,OH
7253.4,,2010,7253,39.3672,-81.5208,OH
727.3,,2016,727,31.4444,-84.1322,GA
728.Y1BR,1996,2015,728,33.4622,-84.8986,GA
728.Y2BR,,2015,728,33.4622,-84.8986,GA
728.Y3BR,,2015,728,33.4622,-84.8986,GA
728.Y4BR,,2015,728,33.4622,-84.8986,GA
728.Y5BR,,2015,728,33.4622,-84.8986,GA
728.Y6BR,,2016,728,33.4622,-84.8986,GA
728.Y7BR,,2015,728,33.4622,-84.8986,GA
733.1,,2015,733,32.1486,-81.1458,GA
733.2,,2015,733,32.1486,-81.1458,GA
733.3,,2015,733,32.1486,-81.1458,GA
7343.4,2014,,7343,42.3022,-96.3622,IA
7504.1,1997,,7504,44.2853,-105.3841,WY
7537.1A,1997,2012,7537,39.2623,-79.3306,WV
7537.1B,1997,2012,7537,39.2623,-79.3306,WV
7737.B001,,2021,7737,32.8994,-79.9694,SC
7790.1.1,1997,,7790,40.0864,-109.2844,UT
7902.1,1997,,7902,32.4607,-94.4852,TX
8.10,2007,2019,8,33.6446,-87.2003,AL
8.6,,2015,8,33.6446,-87.2003,AL
8.7,,2015,8,33.6446,-87.2003,AL
8.8,2007,2019,8,33.6446,-87.2003,AL
8.9,2007,2019,8,33.6446,-87.2003,AL
8023.1,2014,,8023,43.4864,-89.4203,WI
8023.2,2014,,8023,43.4864,-89.4203,WI
8042.1,2008,,8042,36.2811,-80.0603,NC
8042.2,2008,,8042,36.2811,-80.0603,NC
8066.BW71,1996,,8066,41.7378,-108.7875,WY
8066.BW72,1996,,8066,41.7378,-108.7875,WY
8066.BW73,1996,,8066,41.7378,-108.7875,WY
8066.BW74,1997,,8066,41.7378,-108.7875,WY
8069.1,1997,,8069,39.3792,-111.0781,UT
8069.2,2006,,8069,39.3792,-111.0781,UT
8102.1,1996,,8102,38.9347,-82.1158,OH
8102.2,1996,,8102,38.9347,-82.1158,OH
8219.1,2017,,8219,38.6306,-104.7056,CO
8222.B1,1997,,8222,47.2217,-101.8139,ND
8223.1,1997,,8223,34.3186,-109.1636,AZ
8223.2,1997,,8223,34.3186,-109.1636,AZ
8223.4,2009,,8223,34.3186,-109.1636,AZ
8223.TS3,2006,,8223,34.3186,-109.1636,AZ
8224.1,,,8224,40.8831,-117.1542,NV
8224.2,1997,,8224,40.8831,-117.1542,NV
8226.1,2010,,8226,40.5383,-79.7906,PA
856.1,,2016,856,40.5958,-89.6631,IL
856.2,,,856,40.5958,-89.6631,IL
856.3,,,856,40.5958,-89.6631,IL
861.1,2009,2019,861,39.0586,-89.4031,IL
861.2,2010,2019,861,39.0586,-89.4031,IL
862.7,,2000,862,37.6578,-89.5119,IL
862.8,,2000,862,37.6578,-89.5119,IL
862.9,,2000,862,37.6578,-89.5119,IL
863.5,,2012,863,39.1333,-87.6597,IL
863.6,,2012,863,39.1333,-87.6597,IL
864.1,,2012,864,39.8194,-90.5647,IL
864.2,,2012,864,39.8194,-90.5647,IL
864.3,,2012,864,39.8194,-90.5647,IL
864.4,,2012,864,39.8194,-90.5647,IL
864.5,,2012,864,39.8194,-90.5647,IL
867.7,,2013,867,41.8278,-87.7236,IL
867.8,,2013,867,41.8278,-87.7236,IL
87.1,1997,2020,87,35.4159,-108.082,NM
874.5,,2017,874,41.4947,-88.125,IL
876.1,2013,,876,39.5906,-89.4964,IL
876.2,2013,,876,39.5906,-89.4964,IL
879.51,,,879,40.5408,-89.6786,IL
879.52,,,879,40.5408,-89.6786,IL
879.61,2014,,879,40.5408,-89.6786,IL
879.62,2014,,879,40.5408,-89.6786,IL
880028.B022,,2017,880028,39.1756,-84.5022,OH
880033.B027,,2013,880033,39.1792,-84.5053,OH
880039.B004,,2021,880039,39.8242,-84.1747,OH
880041.X015,,2017,880041,34.6339,-87.0244,AL
880041.Z004,,2005,880041,34.6339,-87.0244,AL
880041.Z005,,2018,880041,34.6339,-87.0244,AL
880041.Z006,,,880041,34.6339,-87.0244,AL
880043.1,,2013,880043,42.1631,-73.9003,NY
880044.41000,,2016,880044,42.4833,-73.8167,NY
880052.1070,,2019,880052,43.3064,-73.6208,NY
880053.70,,2017,880053,38.3845,-81.7764,WV
880053.80,,2017,880053,38.3845,-81.7764,WV
880053.90,,2017,880053,38.3845,-81.7764,WV
880055.31,,2010,880055,35.9822,-84.2614,TN
880055.32,,2010,880055,35.9822,-84.2614,TN
880055.33,,2006,880055,35.9822,-84.2614,TN
880055.34,,2010,880055,35.9822,-84.2614,TN
880057.3,,2012,880057,34.2337,-80.658,SC
880057.4,,2011,880057,34.2337,-80.658,SC
880066.2,,2004,880066,33.8658,-81.0114,SC
880066.3,,2004,880066,33.8658,-81.0114,SC
880066.4,,2004,880066,33.8658,-81.0114,SC
880068.3,,2009,880068,34.7103,-80.8515,SC
880068.4,,2009,880068,34.7103,-80.8515,SC
880078.B04,,2013,880078,34.387,-80.0663,SC
880079.34,,2017,880079,35.7433,-84.3208,TN
880079.35,,2017,880079,35.7433,-84.3208,TN
880086.UNITC,,2017,880086,40.555,-89.6628,IL
880087.U.4000,,2012,880087,41.6552,-86.2962,IN
880102.1,2015,2016,880102,17.9477,-66.154,PR
880102.2,2015,2016,880102,17.9477,-66.154,PR
883.17,,2008,883,42.3833,-87.8133,IL
883.7,2014,,883,42.3833,-87.8133,IL
883.8,,,883,42.3833,-87.8133,IL
884.1,,2010,884,41.6334,-88.0626,IL
884.2,,2010,884,41.6334,-88.0626,IL
884.3,,,884,41.6334,-88.0626,IL
884.4,,,884,41.6334,-88.0626,IL
886.19,,2013,886,41.8508,-87.6533,IL
887.1,,,887,37.2103,-88.8606,IL
887.2,,,887,37.2103,-88.8606,IL
887.3,,,887,37.2103,-88.8606,IL
887.4,,,887,37.2103,-88.8606,IL
887.5,,,887,37.2103,-88.8606,IL
887.6,,,887,37.2103,-88.8606,IL
889.1,2011,,889,38.205,-89.855,IL
889.2,2012,,889,38.205,-89.855,IL
889.3,2010,2020,889,38.205,-89.855,IL
891.9,2012,2019,891,40.2797,-90.0775,IL
892.1,,2019,892,41.3017,-89.3136,IL
892.2,,2019,892,41.3017,-89.3136,IL
897.1,,2011,897,40.1781,-87.7481,IL
897.2,,2011,897,40.1781,-87.7481,IL
898.4,,2016,898,38.8639,-90.1325,IL
898.5,,2016,898,38.8639,-90.1325,IL
963.31,2001,2021,963,39.7539,-89.6011,IL
963.32,2001,2021,963,39.7539,-89.6011,IL
963.33,1997,,963,39.7539,-89.6011,IL
963.4,2009,,963,39.7539,-89.6011,IL
964.7,,2010,964,39.7539,-89.6011,IL
964.8,,2009,964,39.7539,-89.6011,IL
976.1,,2003,976,37.6206,-88.955,IL
976.123,2003,,976,37.6206,-88.955,IL
976.2,,2003,976,37.6206,-88.955,IL
976.3,,2003,976,37.6206,-88.955,IL
976.4,1997,2020,976,37.6206,-88.955,IL
981.3,,2012,981,41.7072,-87.5217,IN
981.4,,2012,981,41.7072,-87.5217,IN
983.1,2013,,983,38.7383,-85.4192,IN
983.2,2013,,983,38.7383,-85.4192,IN
983.3,2013,,983,38.7383,-85.4192,IN
983.4,2013,,983,38.7383,-85.4192,IN
983.5,2013,,983,38.7383,-85.4192,IN
983.6,2013,,983,38.7383,-85.4192,IN
988.U1,,2015,988,39.0831,-84.8581,IN
988.U2,,2015,988,39.0831,-84.8581,IN
988.U3,,2015,988,39.0831,-84.8581,IN
988.U4,,2015,988,39.0831,-84.8581,IN
990.50,,2016,990,39.7119,-86.1975,IN
990.60,,2016,990,39.7119,-86.1975,IN
990.70,2007,2017,990,39.7119,-86.1975,IN
991.3,,2016,991,39.4851,-86.4176,IN
991.4,,2016,991,39.4851,-86.4176,IN
991.5,,2016,991,39.4851,-86.4176,IN
991.6,,2016,991,39.4851,-86.4176,IN
992.12,,2014,992,39.7622,-86.1667,IN
992.15,,2015,992,39.7622,-86.1667,IN
992.16,,2015,992,39.7622,-86.1667,IN
994.1,1996,2021,994,38.5267,-87.2525,IN
994.2,1996,,994,38.5267,-87.2525,IN
994.3,1997,,994,38.5267,-87.2525,IN
994.4,1997,,994,38.5267,-87.2525,IN
995.7,1996,2018,995,41.6433,-87.1225,IN
995.8,1996,2018,995,41.6433,-87.1225,IN
996.11,,2010,996,41.6394,-87.4069,IN
996.5,,2010,996,41.6394,-87.4069,IN
996.6,,2010,996,41.6394,-87.4069,IN
997.12,2015,,997,41.7203,-86.9097,IN
