FacID,year_shut,uID,year_scrubbed,Facility.Latitude,Facility.Longitude,State
3,2015.0,1,0,1,1,1
3,2016.0,2,0,2,2,2
7,2016.0,2,0,2,2,2
8,2015.0,2,0,2,2,2
8,2019.0,3,3,3,3,3
10,2017.0,2,0,2,2,2
26,2017.0,4,0,4,4,4
47,2016.0,5,0,5,5,5
50,2014.0,6,0,6,6,6
50,2016.0,2,2,2,2,2
56,2020.0,3,3,3,3,3
87,2020.0,1,1,1,1,1
113,2015.0,1,1,1,1,1
113,2021.0,1,1,1,1,1
126,2017.0,1,0,1,1,1
127,2021.0,1,1,1,1,1
160,2019.0,1,1,1,1,1
207,2018.0,2,2,2,2,2
384,2017.0,4,0,4,4,4
465,2003.0,2,0,2,2,2
465,2013.0,1,1,1,1,1
465,2014.0,1,1,1,1,1
468,2011.0,1,0,1,1,1
469,2011.0,1,1,1,1,1
469,2012.0,1,1,1,1,1
469,2015.0,1,1,1,1,1
469,2018.0,1,1,1,1,1
477,2018.0,1,1,1,1,1
492,2017.0,1,0,1,1,1
492,2021.0,1,1,1,1,1
527,2019.0,1,1,1,1,1
568,2021.0,1,0,1,1,1
593,2011.0,2,0,2,2,2
594,2011.0,1,0,1,1,1
594,2012.0,1,0,1,1,1
594,2014.0,1,0,1,1,1
628,2019.0,2,0,2,2,2
641,2021.0,4,4,4,4,4
642,2015.0,2,0,2,2,2
643,2016.0,2,0,2,2,2
645,2019.0,3,2,3,3,3
646,2003.0,6,0,6,6,6
676,2021.0,1,1,1,1,1
699,2002.0,4,0,4,4,4
708,2019.0,4,4,4,4,4
709,2013.0,1,0,1,1,1
709,2015.0,3,0,3,3,3
710,2011.0,1,0,1,1,1
710,2012.0,1,0,1,1,1
727,2016.0,1,0,1,1,1
728,2015.0,6,1,6,6,6
728,2016.0,1,0,1,1,1
733,2015.0,3,0,3,3,3
856,2016.0,1,0,1,1,1
861,2019.0,2,2,2,2,2
862,2000.0,3,0,3,3,3
863,2012.0,2,0,2,2,2
864,2012.0,5,0,5,5,5
867,2013.0,2,0,2,2,2
874,2017.0,1,0,1,1,1
883,2008.0,1,0,1,1,1
884,2010.0,2,0,2,2,2
886,2013.0,1,0,1,1,1
889,2020.0,1,1,1,1,1
891,2019.0,1,1,1,1,1
892,2019.0,2,0,2,2,2
897,2011.0,2,0,2,2,2
898,2016.0,2,0,2,2,2
963,2021.0,2,2,2,2,2
964,2009.0,1,0,1,1,1
964,2010.0,1,0,1,1,1
976,2003.0,3,0,3,3,3
976,2020.0,1,1,1,1,1
981,2012.0,2,0,2,2,2
988,2015.0,4,0,4,4,4
990,2016.0,2,0,2,2,2
990,2017.0,1,1,1,1,1
991,2016.0,4,0,4,4,4
992,2014.0,1,0,1,1,1
992,2015.0,2,0,2,2,2
994,2021.0,1,1,1,1,1
995,2018.0,2,2,2,2,2
996,2010.0,3,0,3,3,3
1004,2011.0,3,0,3,3,3
1007,2003.0,3,0,3,3,3
1008,2012.0,2,0,2,2,2
1008,2021.0,2,2,2,2,2
1010,2016.0,5,0,5,5,5
1012,2006.0,1,0,1,1,1
1043,2015.0,2,0,2,2,2
1046,2012.0,3,0,3,3,3
1047,2011.0,2,0,2,2,2
1047,2013.0,1,0,1,1,1
1048,2016.0,1,0,1,1,1
1058,2011.0,4,0,4,4,4
1073,2018.0,1,0,1,1,1
1077,2011.0,1,0,1,1,1
1077,2013.0,2,0,2,2,2
1081,2016.0,1,0,1,1,1
1082,2015.0,2,0,2,2,2
1091,2016.0,2,0,2,2,2
1122,2016.0,1,0,1,1,1
1122,2017.0,1,0,1,1,1
1175,2012.0,2,0,2,2,2
1217,2015.0,1,0,1,1,1
1218,2013.0,1,0,1,1,1
1239,2013.0,2,0,2,2,2
1250,2016.0,1,0,1,1,1
1252,2016.0,1,0,1,1,1
1252,2018.0,1,0,1,1,1
1294,2009.0,1,0,1,1,1
1295,2016.0,2,0,2,2,2
1353,2016.0,2,0,2,2,2
1355,2019.0,2,2,2,2,2
1357,2005.0,3,3,3,3,3
1357,2015.0,2,0,2,2,2
1360,2002.0,1,0,1,1,1
1361,2013.0,1,0,1,1,1
1363,2015.0,3,3,3,3,3
1372,2008.0,1,0,1,1,1
1374,2020.0,2,2,2,2,2
1378,2017.0,2,2,2,2,2
1378,2021.0,1,1,1,1,1
1379,2014.0,1,1,1,1,1
1381,2020.0,3,3,3,3,3
1382,2019.0,2,2,2,2,2
1383,2020.0,1,0,1,1,1
1385,2015.0,2,0,2,2,2
1385,2016.0,2,0,2,2,2
1552,2018.0,2,0,2,2,2
1570,2013.0,2,0,2,2,2
1571,2021.0,2,2,2,2,2
1572,2020.0,3,3,3,3,3
1606,2014.0,1,0,1,1,1
1613,2011.0,1,0,1,1,1
1619,2017.0,3,3,3,3,3
1626,2014.0,3,0,3,3,3
1695,2016.0,2,0,2,2,2
1720,2016.0,2,0,2,2,2
1723,2016.0,3,0,3,3,3
1731,2015.0,1,0,1,1,1
1732,2009.0,4,0,4,4,4
1740,2016.0,1,0,1,1,1
1740,2021.0,1,0,1,1,1
1743,2017.0,1,0,1,1,1
1743,2019.0,1,0,1,1,1
1745,2016.0,4,0,4,4,4
1769,2007.0,1,0,1,1,1
1769,2009.0,2,0,2,2,2
1769,2019.0,5,0,5,5,5
1825,2020.0,1,1,1,1,1
1830,2017.0,1,0,1,1,1
1831,2014.0,1,0,1,1,1
1831,2021.0,5,0,5,5,5
1843,2019.0,1,1,1,1,1
1866,2013.0,1,0,1,1,1
1866,2016.0,1,1,1,1,1
1891,2016.0,2,0,2,2,2
1893,2018.0,2,0,2,2,2
1904,2001.0,2,0,2,2,2
1904,2015.0,2,0,2,2,2
1912,2007.0,4,0,4,4,4
1918,2009.0,1,0,1,1,1
1927,2008.0,2,0,2,2,2
1927,2009.0,1,0,1,1,1
1943,2021.0,2,0,2,2,2
1961,2014.0,1,0,1,1,1
2008,2014.0,1,1,1,1,1
2049,2016.0,2,0,2,2,2
2076,2020.0,1,1,1,1,1
2079,2000.0,1,1,1,1,1
2080,2017.0,1,0,1,1,1
2080,2019.0,2,0,2,2,2
2094,2019.0,3,0,3,3,3
2098,2017.0,1,0,1,1,1
2104,2017.0,2,0,2,2,2
2132,2016.0,1,0,1,1,1
2161,2016.0,3,0,3,3,3
2169,2016.0,1,0,1,1,1
2187,2015.0,1,0,1,1,1
2291,2017.0,3,0,3,3,3
2324,2015.0,3,3,3,3,3
2324,2017.0,1,1,1,1,1
2341,2010.0,2,0,2,2,2
2367,2007.0,1,1,1,1,1
2378,2014.0,1,0,1,1,1
2378,2019.0,1,1,1,1,1
2384,2011.0,1,0,1,1,1
2403,2017.0,1,1,1,1,1
2408,2017.0,2,2,2,2,2
2434,2011.0,1,0,1,1,1
2442,2014.0,3,3,3,3,3
2451,2018.0,2,2,2,2,2
2480,2015.0,2,0,2,2,2
2526,2009.0,2,0,2,2,2
2526,2014.0,1,1,1,1,1
2527,2011.0,2,0,2,2,2
2527,2018.0,1,1,1,1,1
2529,2007.0,4,0,4,4,4
2531,2007.0,4,0,4,4,4
2549,2006.0,2,0,2,2,2
2549,2007.0,2,0,2,2,2
2549,2018.0,2,0,2,2,2
2554,2020.0,4,0,4,4,4
2629,2008.0,2,0,2,2,2
2640,1999.0,1,0,1,1,1
2642,2008.0,4,0,4,4,4
2682,2013.0,2,0,2,2,2
2682,2014.0,1,0,1,1,1
2682,2015.0,1,0,1,1,1
2706,2020.0,2,2,2,2,2
2708,2012.0,2,0,2,2,2
2709,2012.0,3,0,3,3,3
2713,2013.0,3,0,3,3,3
2716,2012.0,3,0,3,3,3
2718,2021.0,1,1,1,1,1
2720,2011.0,3,0,3,3,3
2720,2013.0,2,0,2,2,2
2721,2011.0,4,0,4,4,4
2723,2012.0,3,0,3,3,3
2732,2013.0,4,0,4,4,4
2824,2017.0,2,1,2,2,2
2830,2014.0,6,0,6,6,6
2832,2008.0,2,0,2,2,2
2835,2002.0,3,0,3,3,3
2835,2015.0,1,0,1,1,1
2836,2019.0,1,0,1,1,1
2837,2013.0,2,0,2,2,2
2837,2015.0,3,0,3,3,3
2838,2015.0,1,0,1,1,1
2840,2006.0,2,0,2,2,2
2840,2013.0,1,0,1,1,1
2840,2019.0,1,1,1,1,1
2840,2020.0,2,2,2,2,2
2843,2015.0,1,0,1,1,1
2848,2013.0,2,0,2,2,2
2848,2014.0,4,0,4,4,4
2850,2017.0,1,1,1,1,1
2850,2018.0,3,3,3,3,3
2861,2012.0,2,1,2,2,2
2864,2011.0,2,0,2,2,2
2864,2013.0,2,0,2,2,2
2872,2015.0,5,0,5,5,5
2878,2000.0,1,1,1,1,1
2878,2012.0,3,0,3,3,3
2917,2009.0,1,0,1,1,1
2917,2014.0,1,1,1,1,1
2952,2019.0,2,0,2,2,2
2963,2016.0,1,0,1,1,1
3098,2013.0,4,4,4,4,4
3113,2015.0,2,0,2,2,2
3115,2014.0,3,0,3,3,3
3130,2003.0,3,0,3,3,3
3131,2017.0,4,0,4,4,4
3132,2002.0,4,0,4,4,4
3138,2017.0,3,0,3,3,3
3145,1999.0,1,0,1,1,1
3148,2007.0,2,0,2,2,2
3152,2014.0,6,0,6,6,6
3159,2012.0,1,1,1,1,1
3161,2012.0,1,1,1,1,1
3161,2013.0,1,1,1,1,1
3176,2010.0,1,0,1,1,1
3178,2013.0,2,0,2,2,2
3179,2014.0,3,3,3,3,3
3181,2013.0,1,0,1,1,1
3251,2012.0,1,0,1,1,1
3264,2014.0,2,0,2,2,2
3264,2015.0,1,0,1,1,1
3280,2013.0,3,0,3,3,3
3287,2017.0,2,0,2,2,2
3295,2002.0,2,0,2,2,2
3295,2013.0,1,0,1,1,1
3317,2013.0,2,0,2,2,2
3319,2013.0,2,0,2,2,2
3393,2019.0,3,0,3,3,3
3405,2013.0,2,0,2,2,2
3405,2014.0,2,0,2,2,2
3406,2018.0,10,0,10,10,10
3497,2018.0,2,0,2,2,2
3644,2016.0,2,0,2,2,2
3775,2016.0,3,0,3,3,3
3776,2016.0,3,0,3,3,3
3788,2012.0,5,5,5,5,5
3796,2014.0,2,0,2,2,2
3797,2019.0,2,2,2,2,2
3803,2014.0,4,0,4,4,4
3804,2004.0,2,0,2,2,2
3809,2019.0,2,0,2,2,2
3936,2017.0,2,0,2,2,2
3938,2012.0,1,0,1,1,1
3938,2016.0,4,0,4,4,4
3942,2013.0,3,0,3,3,3
3945,2013.0,2,0,2,2,2
3946,2013.0,2,0,2,2,2
3947,2015.0,3,0,3,3,3
3982,2002.0,1,0,1,1,1
3982,2016.0,1,0,1,1,1
3992,2012.0,1,0,1,1,1
4040,2003.0,1,0,1,1,1
4040,2004.0,3,0,3,3,3
4042,2015.0,2,0,2,2,2
4042,2016.0,2,0,2,2,2
4050,2016.0,1,0,1,1,1
4050,2018.0,1,0,1,1,1
4054,2016.0,2,0,2,2,2
4072,2008.0,2,0,2,2,2
4072,2015.0,2,0,2,2,2
4072,2018.0,2,0,2,2,2
4078,2015.0,1,0,1,1,1
4078,2016.0,1,0,1,1,1
4125,2010.0,2,0,2,2,2
4140,2005.0,3,0,3,3,3
4140,2014.0,2,0,2,2,2
4143,2021.0,1,1,1,1,1
4146,2011.0,2,0,2,2,2
4162,2020.0,1,1,1,1,1
4259,2017.0,1,1,1,1,1
4941,2019.0,3,3,3,3,3
6016,2019.0,1,1,1,1,1
6017,2017.0,1,0,1,1,1
6031,2018.0,1,1,1,1,1
6055,2016.0,1,0,1,1,1
6061,2018.0,2,2,2,2,2
6076,2020.0,2,2,2,2,2
6089,2021.0,1,1,1,1,1
6124,2019.0,1,0,1,1,1
6136,2019.0,1,1,1,1,1
6139,2016.0,1,0,1,1,1
6147,2018.0,3,1,3,3,3
6170,2018.0,2,2,2,2,2
6648,2018.0,1,1,1,1,1
7210,2020.0,1,1,1,1,1
7242,2005.0,1,0,1,1,1
7253,2010.0,4,0,4,4,4
7537,2012.0,2,2,2,2,2
7737,2021.0,1,0,1,1,1
10025,2007.0,3,0,3,3,3
10025,2014.0,1,0,1,1,1
10025,2018.0,3,0,3,3,3
10030,2013.0,1,0,1,1,1
10071,2019.0,6,6,6,6,6
10075,2015.0,1,0,1,1,1
10111,2017.0,1,1,1,1,1
10114,2006.0,1,0,1,1,1
10114,2007.0,1,0,1,1,1
10244,2005.0,1,0,1,1,1
10244,2017.0,2,0,2,2,2
10252,2006.0,1,1,1,1,1
10321,2006.0,2,0,2,2,2
10328,2017.0,3,0,3,3,3
10328,2018.0,1,1,1,1,1
10333,2014.0,1,1,1,1,1
10377,2019.0,6,6,6,6,6
10378,2011.0,6,0,6,6,6
10379,2011.0,3,0,3,3,3
10380,2018.0,2,0,2,2,2
10382,2016.0,2,1,2,2,2
10384,2019.0,4,4,4,4,4
10464,2014.0,3,3,3,3,3
10628,2002.0,1,0,1,1,1
10641,2019.0,2,2,2,2,2
10672,2017.0,3,3,3,3,3
10675,2012.0,2,2,2,2,2
10676,2015.0,4,4,4,4,4
10743,2021.0,2,2,2,2,2
10771,2014.0,2,2,2,2,2
10773,2014.0,2,2,2,2,2
10774,2014.0,2,2,2,2,2
10797,2010.0,2,0,2,2,2
10849,2010.0,2,0,2,2,2
50012,2009.0,1,0,1,1,1
50039,2018.0,1,1,1,1,1
50130,2012.0,2,0,2,2,2
50151,2012.0,1,0,1,1,1
50189,2008.0,1,1,1,1,1
50202,2008.0,1,1,1,1,1
50240,2013.0,1,0,1,1,1
50240,2015.0,1,0,1,1,1
50244,2016.0,5,0,5,5,5
50247,2012.0,1,0,1,1,1
50254,2017.0,1,1,1,1,1
50397,2017.0,2,0,2,2,2
50410,2019.0,1,1,1,1,1
50479,2011.0,1,0,1,1,1
50481,2015.0,1,0,1,1,1
50481,2017.0,2,0,2,2,2
50481,2019.0,2,0,2,2,2
50491,2019.0,1,0,1,1,1
50651,2013.0,5,0,5,5,5
50806,2021.0,1,0,1,1,1
50879,2020.0,1,1,1,1,1
50900,2019.0,2,0,2,2,2
50954,2006.0,1,0,1,1,1
50956,2020.0,2,0,2,2,2
52007,2019.0,2,2,2,2,2
52089,2015.0,1,0,1,1,1
52151,2019.0,1,0,1,1,1
52152,2014.0,1,0,1,1,1
54035,2017.0,1,1,1,1,1
54081,2019.0,4,4,4,4,4
54089,2002.0,2,0,2,2,2
54144,2015.0,1,1,1,1,1
54207,2014.0,1,0,1,1,1
54216,2013.0,2,0,2,2,2
54216,2015.0,2,0,2,2,2
54556,2007.0,3,0,3,3,3
54755,2017.0,1,1,1,1,1
55245,2016.0,2,0,2,2,2
880028,2017.0,1,0,1,1,1
880033,2013.0,1,0,1,1,1
880039,2021.0,1,0,1,1,1
880041,2005.0,1,0,1,1,1
880041,2017.0,1,0,1,1,1
880041,2018.0,1,0,1,1,1
880043,2013.0,1,0,1,1,1
880044,2016.0,1,0,1,1,1
880052,2019.0,1,0,1,1,1
880053,2017.0,3,0,3,3,3
880055,2006.0,1,0,1,1,1
880055,2010.0,3,0,3,3,3
880057,2011.0,1,0,1,1,1
880057,2012.0,1,0,1,1,1
880066,2004.0,3,0,3,3,3
880068,2009.0,2,0,2,2,2
880078,2013.0,1,0,1,1,1
880079,2017.0,2,0,2,2,2
880086,2017.0,1,0,1,1,1
880087,2012.0,1,0,1,1,1
880102,2016.0,2,2,2,2,2
